TenantId,"TimeGenerated [UTC]",DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,OriginalLogSeverity,AdditionalExtensions,DeviceAction,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,CommunicationDirection,DeviceDnsDomain,DeviceExternalID,DeviceFacility,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DestinationPort,DestinationIP,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceAddress,DeviceName,DeviceMacAddress,ProcessID,"EndTime [UTC]",ExternalID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePath,FilePermission,FileType,FileName,FileSize,ReceivedBytes,Message,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,Protocol,RequestURL,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,ReceiptTime,SourceHostName,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,SourcePort,SourceIP,"StartTime [UTC]",SourceUserID,SourceUserName,EventType,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,Computer,SourceSystem,SimplifiedDeviceAction,Type,"_ResourceId"
"4ed13d96-f17e-40c7-b2a8-f12f4112ac67","1/11/2022, 11:38:06.509 AM","F-Secure","Computer Protection Premium and EDR",,"dataGuard.blocked","DataGuard event",4,,"accountName=yoda-sop-kolemi-company;details_targetData=C:\\test-blocked.txt;details_clientTimestamp=1626778489000;details_filePath=C:\\Windows\\System32\\Notepad.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DataGuard blocked access to ""test-blocked.txt""",,,,,,,,,,,,,,,,,,"FSW1564-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.0.0.1",OpsManager,,CommonSecurityLog,
"4ed13d96-f17e-40c7-b2a8-f12f4112ac67","1/11/2022, 11:38:06.740 AM","F-Secure","Computer Protection Premium and EDR",,"dataGuard.none","DataGuard event",1,,"accountName=yoda-sop-kolemi-company;details_targetData=C:\\test-reported.txt;details_clientTimestamp=1626778489000;details_filePath=C:\\Windows\\System32\\Notepad.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DataGuard reported access to ""test-reported.txt""",,,,,,,,,,,,,,,,,,"FSW1564-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.0.0.1",OpsManager,,CommonSecurityLog,
"4ed13d96-f17e-40c7-b2a8-f12f4112ac67","1/11/2022, 11:38:06.742 AM","F-Secure","Computer Protection Premium and EDR",,"applicationControl.reported","Application Control event",1,,"details_installerPath=C:\\Temp\\installation_start_reported.exe (installer);details_targetProductName=Product name which the executable belongs to;details_parentPath=C:\\Temp\\installation_start_reported.exe (parent);details_installerSha1=aa8c41330509455ee5679d04ed41535d280d9a07 (installer);accountName=yoda-sop-kolemi-company;details_ruleId=rule_id_7;details_targetVersionCompanyName=Name of the company produced the executable;details_clientTimestamp=1626778489000;details_installerSignature=Name of the signer defined in the certificate (installer);details_targetProductVersion=Product version;details_ruleEvent=installation_start;details_targetCommandLine=Command line which were used to start the executable binary file;details_ruleName=rule_name_7;details_targetSha1=aa8c41330509455ee5679d04ed41535d280d9a07;details_targetFileVersion=File version;details_targetFileDescription=File description;details_targetPath=C:\\Temp\\installation_start_reported.exe;details_targetSignatureSignerName=Name of the signer defined in the certificate;details_profileVersion=profile_version_07;details_installerSubject=Subject name defined in the MSI package;details_profileId=profile_id_07;details_targetCopyrightText=Copyright text string",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Application Control reported installation_start of ""Product name which the executable belongs to"" based on rule ""rule_name_7""",,,,,,,,,,,,,,,,,,"FSW1564-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.0.0.1",OpsManager,,CommonSecurityLog,
"4ed13d96-f17e-40c7-b2a8-f12f4112ac67","1/11/2022, 11:38:06.742 AM","F-Secure","Computer Protection Premium and EDR",,"applicationControl.reported","Application Control event",1,,"details_installerPath=C:\\Temp\\file_access_reported.exe (installer);details_targetProductName=Product name which the executable belongs to;details_parentPath=C:\\Temp\\file_access_reported.exe (parent);details_installerSha1=aa8c41330509455ee5679d04ed41535d280d9a08 (installer);accountName=yoda-sop-kolemi-company;details_ruleId=rule_id_8;details_targetVersionCompanyName=Name of the company produced the executable;details_clientTimestamp=1626778489000;details_installerSignature=Name of the signer defined in the certificate (installer);details_targetProductVersion=Product version;details_ruleEvent=file_access;details_targetCommandLine=Command line which were used to start the executable binary file;details_ruleName=rule_name_8;details_targetSha1=aa8c41330509455ee5679d04ed41535d280d9a08;details_targetFileVersion=File version;details_targetFileDescription=File description;details_targetPath=C:\\Temp\\file_access_reported.exe;details_targetSignatureSignerName=Name of the signer defined in the certificate;details_profileVersion=profile_version_08;details_installerSubject=Subject name defined in the MSI package;details_profileId=profile_id_08;details_targetCopyrightText=Copyright text string",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Application Control reported file_access of ""Product name which the executable belongs to"" based on rule ""rule_name_8""",,,,,,,,,,,,,,,,,,"FSW1564-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.0.0.1",OpsManager,,CommonSecurityLog,
"4ed13d96-f17e-40c7-b2a8-f12f4112ac67","1/11/2022, 11:38:06.745 AM","F-Secure","Computer Protection Premium and EDR",,"applicationControl.none","Application Control event",10,,"accountName=yoda-sop-kolemi-company;details_ruleId=rule_id_9;details_clientTimestamp=1626778489000;details_errorMessage=Text message describing the error;details_profileVersion=profile_version_09;details_profileId=profile_id_09;details_ruleEvent=settings;details_ruleName=rule_name_9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Application Control ignored rule ""rule_name_9""",,,,,,,,,,,,,,,,,,"FSW1564-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.0.0.1",OpsManager,,CommonSecurityLog,
"4ed13d96-f17e-40c7-b2a8-f12f4112ac67","1/11/2022, 11:38:06.745 AM","F-Secure","Computer Protection Premium and EDR",,"connectionControl.blocked","Network connection event",1,,"accountName=yoda-sop-kolemi-company;details_alertType=connection_control.page.block;details_clientTimestamp=1626778489000;details_process=The process where the page was blocked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Network connection is blocked by Connection control. Blocked process: ""The process where the page was blocked""",,,,,,,,,,,,,,,,,,"FSW1564-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.0.0.1",OpsManager,,CommonSecurityLog,
"4ed13d96-f17e-40c7-b2a8-f12f4112ac67","1/11/2022, 11:38:06.746 AM","F-Secure","Computer Protection Premium and EDR",,"connectionControl.blocked","Network connection event",1,,"details_port=443;accountName=yoda-sop-kolemi-company;details_alertType=connection_control.connection.block;details_clientTimestamp=1626778489000;details_process=The process where the page was blocked;details_direction=out;details_ip=IP address to blocked connection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Network connection is blocked by Connection control. Blocked process: ""The process where the page was blocked""",,,,,,,,,,,,,,,,,,"FSW1564-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.0.0.1",OpsManager,,CommonSecurityLog,
"4ed13d96-f17e-40c7-b2a8-f12f4112ac67","1/11/2022, 11:38:06.746 AM","F-Secure","Computer Protection Premium and EDR",,"deepGuard.blocked","DeepGuard event",4,,"details_reputation=potentially_unwanted;accountName=yoda-sop-kolemi-company;details_alertType=deep_guard.malware.block;details_clientTimestamp=1626778489000;details_filePath=C:\\test.txt;details_rarity=rare;details_sha1=aa8c41330509455ee5679d04ed41535d280d9a01",blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The malicious application ""test.txt"" was blocked",,,,,,,,,,,,,,,,,,"FSW1564-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\\test.txt","Infected object",,Malware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.0.0.1",OpsManager,blocked,CommonSecurityLog,
"4ed13d96-f17e-40c7-b2a8-f12f4112ac67","1/11/2022, 11:38:06.746 AM","F-Secure","Computer Protection Premium and EDR",,"deepGuard.blocked","DeepGuard event",4,,"details_reputation=harmful;accountName=yoda-sop-kolemi-company;details_alertType=deep_guard.admin.block;details_clientTimestamp=1626778489000;details_filePath=C:\\test.txt;details_rarity=unknown;details_sha1=aa8c41330509455ee5679d04ed41535d280d9a02",blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The application ""test.txt"" was blocked by the administrator",,,,,,,,,,,,,,,,,,"FSW1564-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\\test.txt","Infected object",,Malware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.0.0.1",OpsManager,blocked,CommonSecurityLog,
"4ed13d96-f17e-40c7-b2a8-f12f4112ac67","1/11/2022, 11:38:06.746 AM","F-Secure","Computer Protection Premium and EDR",,"deepGuard.blocked","DeepGuard event",4,,"details_reputation=clean;accountName=yoda-sop-kolemi-company;details_alertType=deep_guard.user.block;details_clientTimestamp=1626778489000;details_filePath=C:\\test.txt;details_rarity=common;details_sha1=aa8c41330509455ee5679d04ed41535d280d9a03",blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The application ""test.txt"" was blocked according to user settings",,,,,,,,,,,,,,,,,,"FSW1564-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\\test.txt","Infected object",,Malware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.0.0.1",OpsManager,blocked,CommonSecurityLog,
